track_name,artists,album_name,duration_minutes,valence,energy,tempo,popularity,My_Rating,Vibe_Category
Comedy,Gen Hoshino,Comedy,3.8444333333333334,0.715,0.461,87.917,73,,Chill/Casual
Ghost - Acoustic,Ben Woodward,Ghost (Acoustic),2.4935,0.267,0.166,77.489,55,,Sad/Moody
To Begin Again,Ingrid Michaelson;ZAYN,To Begin Again,3.5137666666666667,0.12,0.359,76.332,57,,Sad/Moody
Can't Help Falling In Love,Kina Grannis,Crazy Rich Asians (Original Motion Picture Soundtrack),3.36555,0.143,0.0596,181.74,71,,Sad/Moody
Hold On,Chord Overstreet,Hold On,3.314216666666667,0.167,0.443,119.949,82,,Chill/Casual
Days I Will Remember,Tyrone Wells,Days I Will Remember,3.570666666666667,0.666,0.481,98.017,58,,Chill/Casual
Say Something,A Great Big World;Christina Aguilera,Is There Anybody Out There?,3.8233333333333333,0.0765,0.147,141.284,74,,Sad/Moody
I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things.,4.0491,0.712,0.444,150.96,80,,Chill/Casual
Lucky,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,3.1602166666666665,0.669,0.414,130.088,74,,Chill/Casual
Hunger,Ross Copperman,Hunger,3.4265666666666665,0.196,0.632,78.899,56,,Chill/Casual
Give Me Your Forever,Zack Tabudlo,Episode,4.08,0.301,0.363,99.905,74,,Sad/Moody
I Won't Give Up,Jason Mraz,Love Is a Four Letter Word,4.00275,0.139,0.303,133.406,69,,Sad/Moody
Solo,Dan Berk,Solo,3.3118666666666665,0.607,0.314,124.234,52,,Chill/Casual
Bad Liar,Anna Hamilton,Bad Liar,4.1408,0.209,0.234,87.103,62,,Sad/Moody
Hold On - Remix,Chord Overstreet;Deepend,Hold On (Remix),3.13555,0.387,0.78,120.004,56,,Chill/Casual
Falling in Love at a Coffee Shop,Landon Pigg,The Boy Who Never,4.0831,0.238,0.561,83.457,58,,Chill/Casual
ily (i love you baby),Andrew Foy;Renee Foy,ily (i love you baby),2.1625,0.414,0.112,110.154,56,,Chill/Casual
At My Worst,Andrew Foy;Renee Foy,At My Worst,2.8288,0.609,0.0841,91.803,54,,Chill/Casual
Lucky,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,3.1602166666666665,0.669,0.414,130.088,68,,Chill/Casual
Photograph,Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 4",4.336433333333333,0.322,0.32,107.946,67,,Sad/Moody
I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things.,4.0491,0.712,0.444,150.96,75,,Chill/Casual
Demons,Boyce Avenue;Jennel Garcia,"Cover Sessions, Vol. 3",2.9029,0.569,0.351,90.032,63,,Chill/Casual
Say Something,A Great Big World;Christina Aguilera,Is There Anybody Out There? - Track by Track Commentary,3.8233333333333333,0.0765,0.147,141.284,70,,Sad/Moody
Bella Luna,Jason Mraz,Mellow Adult Pop,5.0391,0.33,0.454,120.06,1,,Chill/Casual
Trampoline - Acoustic,Highland Peak,Trampoline (Acoustic),3.551633333333333,0.308,0.2,107.893,46,,Sad/Moody
透明だった世界,Motohiro Hata,Documentary,3.8726666666666665,0.56,0.914,168.21,61,,Chill/Casual
Pieces,Andrew Belle,Black Bear,4.01865,0.298,0.652,137.018,60,,Chill/Casual
A Drop in the Ocean,Ron Pope,The Bedroom Demos,3.67065,0.564,0.393,73.139,68,,Chill/Casual
So Far Away - Acoustic,Adam Christopher,So Far Away (Acoustic),2.85905,0.407,0.331,149.02,52,,Chill/Casual
The Enemy,Andrew Belle,Black Bear,4.781083333333333,0.273,0.89,121.974,62,,Chill/Casual
Build It Better,Aron Wright,Build It Better,3.9078833333333334,0.159,0.333,94.951,51,,Sad/Moody
Gravity,Sara Bareilles,Little Voice,3.8793333333333333,0.231,0.275,168.964,67,,Sad/Moody
What's Left of You,Chord Overstreet,What's Left of You,2.9766666666666666,0.265,0.507,117.969,57,,Chill/Casual
Pano,Zack Tabudlo,Pano,4.24,0.415,0.457,174.839,75,,Chill/Casual
Sky's Still Blue,Andrew Belle,The Daylight EP,4.072,0.217,0.791,171.864,62,,Chill/Casual
And I Love Her,Kurt Cobain,Montage Of Heck: The Home Recordings,2.0822166666666666,0.435,0.282,96.638,66,,Chill/Casual
We Can't Stop,Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 3",3.7024333333333335,0.36,0.347,80.057,64,,Sad/Moody
Always Be My Baby,Tim Halperin,Covers,3.030866666666667,0.285,0.255,139.884,62,,Sad/Moody
Alone with You,Canyon City,Midnight Waves,3.1097333333333332,0.207,0.274,86.664,58,,Sad/Moody
Making All Things New,Aaron Espe,Making All Things New,2.66,0.48,0.355,99.978,65,,Chill/Casual
She Used To Be Mine,Sara Bareilles,What's Inside: Songs from Waitress,4.1711,0.172,0.303,81.05,67,,Sad/Moody
In My Veins - Feat. Erin Mccarley,Andrew Belle,In My Veins (Feat. Erin Mccarley),5.315133333333334,0.196,0.42,128.012,65,,Chill/Casual
I Don't Wanna Live Forever (Fifty Shades Darker),Tyler Ward,Under Covers,3.70585,0.264,0.403,118.042,44,,Chill/Casual
A Drop In the Ocean,Ron Pope,Whatever It Takes,3.658,0.346,0.573,139.966,55,,Chill/Casual
Superman (It's Not Easy),Five For Fighting,America Town,3.6948833333333333,0.125,0.416,102.089,70,,Chill/Casual
When the End Comes,Andrew Belle,Dive Deep,5.906666666666666,0.428,0.575,91.98,57,,Chill/Casual
You're Still The One,Bailey Jehl,You're Still The One,2.9583333333333335,0.54,0.473,119.698,56,,Chill/Casual
